tag,architecture,seq_minutes,inputs,units,lr,seed,parameters,MAE,skill,train_s
60min_features_s7,attention_bilstm,60,engineered,96,0.0003,7.0,119170,0.4469,37.99,1455.4
60min_features,attention_bilstm,60,engineered,96,0.0003,42.0,119170,0.4502,37.53,1481.3
20min_features,attention_bilstm,20,engineered,96,0.0003,42.0,119170,0.4515,37.35,742.1
60min_features_s1,attention_bilstm,60,engineered,96,0.0003,1.0,119170,0.4563,36.68,2919.1
60min_plainlstm_s1,lstm,60,raw+calendar,96,0.0003,1.0,43073,0.4688,34.94,1576.7
60min_noatt_s2,bilstm,60,raw+calendar,96,0.0003,2.0,86081,0.4705,34.71,2060.9
60min_noatt_s7,bilstm,60,raw+calendar,96,0.0003,7.0,86081,0.4711,34.63,2339.0
60min_noatt,bilstm,60,raw+calendar,96,0.0003,42.0,86081,0.4721,34.49,1328.2
60min_plainlstm_s7,lstm,60,raw+calendar,96,0.0003,7.0,43073,0.4724,34.45,1241.2
60min_noatt_s1,bilstm,60,raw+calendar,96,0.0003,1.0,86081,0.4733,34.32,3046.7
60min_plainlstm,lstm,60,raw+calendar,96,0.0003,42.0,43073,0.4735,34.3,616.9
60min_plainlstm_s2,lstm,60,raw+calendar,96,0.0003,2.0,43073,0.4761,33.93,2294.7
60min_unidir,attention_lstm,60,raw+calendar,96,0.0003,42.0,46210,0.4796,33.45,704.8
60min_calendar_s1,attention_bilstm,60,raw+calendar,96,0.0003,1.0,92290,0.4801,33.37,1857.0
60min_calendar_s7,attention_bilstm,60,raw+calendar,96,0.0003,7.0,92290,0.4812,33.23,974.4
720min_calendar,attention_bilstm,720,raw+calendar,96,0.0003,42.0,92290,0.4848,32.73,7414.0
60min_calendar_s2,attention_bilstm,60,raw+calendar,96,0.0003,2.0,92290,0.4868,32.44,3525.5
60min_calendar_s3,attention_bilstm,60,raw+calendar,96,0.0003,3.0,92290,0.4886,32.2,2364.7
60min_calendar,attention_bilstm,60,raw+calendar,96,0.0003,42.0,92290,0.4897,32.05,897.1
60min_tuned_s7,attention_bilstm,60,raw,96,0.0003,7.0,89218,0.5372,25.45,810.8
60min_tuned,attention_bilstm,60,raw,96,0.0003,,89218,0.5381,25.33,854.3
60min,attention_bilstm,60,raw,64,0.001,,43138,0.5385,25.28,201.3
720min,attention_bilstm,720,raw,64,0.001,,43138,0.5421,24.78,753.7
