model,MAE,RMSE,Bias,Skill_%
bilstm_60min_features,0.45,0.6503,-0.0738,37.55
bilstm_20min_features,0.4512,0.6547,-0.0574,37.38
baseline_gradientboosting,0.4632,0.6735,-0.0296,35.71
bilstm_60min_noatt,0.4719,0.6798,-0.0082,34.51
bilstm_60min_plainlstm,0.4733,0.6833,-0.0141,34.31
bilstm_60min_calendar_s7,0.4811,0.6874,-0.0261,33.24
bilstm_720min_calendar,0.4846,0.6897,-0.1075,32.75
bilstm_60min_calendar,0.4896,0.6942,-0.061,32.05
bilstm_60min_tuned,0.5378,0.7878,-0.0449,25.36
bilstm_60min,0.5382,0.7916,0.0104,25.31
bilstm_720min,0.5419,0.7771,-0.0661,24.79
persistence,0.7205,1.0143,0.0015,0.0
